vehicale count,time,kirulapone ,maharagama,dehiwala,battaraulla
2200,8,1560,2020,3500,2567
1300,10,1233,1345,2234,2234
3500,12,1345,3354,1345,2222
1600,14,3345,4367,2223,4232
1700,16,1667,4456,4442,1423
1400,18,1345,2267,5345,2234
1300,20,3456,4523,3434,2366
1200,22,3478,1156,4523,3342
2500,00,4545,3563,3442,2334
2300,2,1162,1453,1342,3234
3500,4,3223,2534,2224,3323
4555,6,3564,1465,2342,4442
1600,8,1767,2674,1342,4342
2400,10,2345,4346,1342,1342
2100,12,2336,1556,3453,2234
4500,14,3333,1534,1114,2223
4555,16,1564,2465,2342,2242
2600,18,4767,1674,2342,2342
3400,20,2245,4346,1342,2342
3100,22,3456,1556,3453,4434
3500,00,1123,1534,2224,3323
4555,2,1564,1465,3342,1142
1600,4,1767,1674,3342,2342
1400,6,3445,4346,3242,1342
2100,8,3336,3556,3453,1134
2400,10,2345,4346,1342,1342
2100,12,2336,1556,3453,2234
4500,14,3333,1534,1114,2223
4555,16,1564,2465,2342,2242
2600,18,4767,1674,2342,2342
3400,20,2245,4346,1342,2342
3100,22,3456,1556,3453,4434
3500,00,1123,1534,2224,3323

